Gen,total_rating,scale_correctness_rating,zipfs_law_distance_pitches,zipfs_law_distance_intervals,neighbour_pitch_rating,melody_direction_rating,direction_stability_rating,unique_pitches_rating,bindings_rating,measures_rating,types_distance_rating,semitones_distance_rating,pitches_distance_rating,duration_distance_rating,offsets_distance_rating,absolute_rhythm_rating,absolute_types_rating,types_distr_rating,interval_distr_distance_rating,element_count_rating
1,39.11161558,0.318584071,0.026411842,2.080131038,2.264150943,0.002528691,0.002528691,0.058501041,4.270833333,9.375,0.863986302,1.962213978,1.273302286,2.074810463,0.808694058,3.3,1.5,0.891589694,8.038349147,0
2,40.42341755,0.320754717,0.710053373,2.338917881,2.680412371,0.051546392,0,0.058314856,4.375,9.375,0.874355566,2.359615191,1.445043511,2.005481356,0.974927275,2.9,0.9,0.291926256,8.183556405,0.578512397
3,40.51242342,0.477876106,1.393993463,0.169675578,1.962616822,0.039791887,0.011754504,0.066645327,4.791666667,9.375,1.225753917,2.379961623,2.120756093,1.954326624,1.116162337,2.6,0.9,2.299088059,7.21413127,0.41322314
4,38.5735803,0.385964912,0.484493874,0.395911831,2.272727273,0.043955014,0.043955014,0.06465311,4.270833333,9.375,0.812713653,2.516052852,1.843929939,2.052770187,0.789985263,2.8,1.1,1.664201827,7.573787589,0.082644628
5,38.59555538,0.695652174,1.52691843,0.278601222,1.909090909,0.053045923,0.053045923,0.058158508,4.6875,9.375,0.800964183,2.46106941,1.824660872,2.009743047,0.945975838,2.9,1.1,1.536943382,6.296540935,0.082644628
6,36.27840586,0.672727273,0.16061235,0.195333164,1.904761905,0.04958272,0.04958272,0.057169005,4.270833333,9.375,0.738792445,2.228447408,1.898699978,2.028249869,0.996978252,2.9,1,1.455320248,5.883092051,0.41322314
7,36.0592028,0.689655172,0.548104766,0.057784368,1.666666667,0.034545126,0.034545126,0.059820426,4.270833333,9.375,0.832181275,2.150016475,1.862634132,2.041102737,0.918199983,2.8,1.1,1.722681359,5.812787226,0.082644628
8,35.8168825,1.196428571,0.328129994,1.361852646,1.730769231,0.03538858,0.03538858,0.053030303,4.166666667,7.8125,0.939733072,2.285421138,1.641537765,2.158494871,0.820465414,3.1,1.4,1.494037384,4.926459773,0.330578512
9,33.68291047,0.701754386,0.151304093,0.189276765,1.651376147,0.030360352,0.030360352,0.053813301,4.166666667,7.8125,0.805728725,2.167052388,1.561607663,2.142640667,0.830691989,3.1,1.4,1.21215819,5.675618784,0
10,33.74546113,0.339285714,0.636166306,0.004615871,2.110091743,0.048708976,0.048708976,0.061363636,4.0625,6.25,0.828181429,2.308049261,1.831535288,2.074496356,1.046011066,2.9,1,1.196185633,6.751626993,0.247933884
11,33.64981054,0.393162393,0.265592366,0.670971627,1.842105263,0.043317056,0.043317056,0.061363636,4.166666667,7.8125,0.840946042,2.33679181,1.748975159,2.072034073,0.887893055,2.9,1.1,0.898194062,5.40069102,0.165289256
12,32.48560833,0.379310345,0.368142079,0.107003997,1.681415929,0.030197975,0.030197975,0.059651308,4.166666667,7.8125,0.819562893,2.265728603,1.857434553,2.100415435,0.910552182,2.8,1.1,0.976946498,5.019881893,0
13,32.4891946,0.796460177,0.259136619,0.45694299,1.454545455,0.025773196,0.025773196,0.060501567,4.166666667,7.8125,0.935547388,2.201003253,1.654646152,2.104233797,0.793588214,2.9,1.1,0.701122487,4.958108813,0.082644628
14,32.35251028,0.778761062,0.350299147,0.181168066,1.363636364,0.025773196,0.025773196,0.060501567,4.166666667,7.8125,0.929578585,2.206732559,1.679778415,2.107344183,0.800174269,2.9,1.1,0.789348026,4.991830349,0.082644628
15,32.2266492,0.778761062,0.39762965,0.037982285,1.441441441,0.0302777,0.0302777,0.076774595,4.166666667,7.8125,0.952644211,2.104878702,1.672382832,2.112205702,0.889172579,2.9,1.1,0.87627613,4.846777944,0
16,31.39092225,0.778761062,0.160068111,0.02222155,1.261261261,0.0302777,0.0302777,0.074294671,4.166666667,7.8125,0.954623913,2.091948827,1.655249566,2.112205702,0.889172579,2.9,1.1,0.773334954,4.578057981,0
17,31.37655823,0.778761062,0.160068111,0.02222155,1.261261261,0.0302777,0.0302777,0.074294671,4.166666667,7.8125,0.932334287,2.127225574,1.660468129,2.10673039,0.877857501,2.9,1.1,0.757555649,4.578057981,0
18,31.37368087,0.778761062,0.160068111,0.02222155,1.261261261,0.0302777,0.0302777,0.057053292,4.166666667,7.8125,0.954623913,2.091948827,1.655249566,2.112205702,0.889172579,2.9,1.1,0.773334954,4.578057981,0
19,31.25780458,0.796460177,0.174534709,0.075399011,1.261261261,0.0302777,0.0302777,0.074294671,4.166666667,7.8125,0.932334287,2.126717412,1.656007844,2.10673039,0.877857501,2.9,1.1,0.757555649,4.378929599,0
20,31.25780458,0.796460177,0.174534709,0.075399011,1.261261261,0.0302777,0.0302777,0.074294671,4.166666667,7.8125,0.932334287,2.126717412,1.656007844,2.10673039,0.877857501,2.9,1.1,0.757555649,4.378929599,0
21,31.19210836,0.778761062,0.345979818,0.286347511,1.171171171,0.021268691,0.021268691,0.060501567,4.166666667,7.8125,0.932334287,2.097863087,1.659141249,2.092934987,0.877857501,3,1.1,0.757555649,4.009956419,0
22,30.92384118,0.778761062,0.235255725,0.274023199,1.171171171,0.0302777,0.0302777,0.060501567,4.166666667,7.8125,0.932334287,2.088482917,1.655624346,2.109430747,0.877857501,2.9,1.1,0.757555649,3.943120941,0
23,31.04709284,0.778761062,0.071919766,0.51107255,1.171171171,0.021268691,0.021268691,0.077742947,4.166666667,7.8125,0.932334287,2.141165961,1.62616998,2.103099241,0.877857501,2.9,1.1,0.757555649,3.97653868,0
24,30.92178801,0.778761062,0.235255725,0.274023199,1.171171171,0.0302777,0.0302777,0.063949843,4.166666667,7.8125,0.932334287,2.088482917,1.655624346,2.103929304,0.877857501,2.9,1.1,0.757555649,3.943120941,0
25,30.58418222,0.778761062,0.00033869,0.268468129,1.081081081,0.021268691,0.021268691,0.081191223,4.166666667,7.8125,0.932334287,2.132669401,1.629995689,2.079357734,0.877857501,3,1.1,0.757555649,3.842867724,0
26,30.57038912,0.778761062,0.00033869,0.268468129,1.081081081,0.021268691,0.021268691,0.067398119,4.166666667,7.8125,0.932334287,2.132669401,1.629995689,2.079357734,0.877857501,3,1.1,0.757555649,3.842867724,0
27,30.33257752,0.778761062,0.139115631,0.031533352,1.081081081,0.0302777,0.0302777,0.077742947,4.166666667,7.8125,0.932334287,2.122967432,1.62428381,2.09359045,0.877857501,2.9,1.1,0.757555649,3.776032246,0
28,30.32223269,0.778761062,0.139115631,0.031533352,1.081081081,0.0302777,0.0302777,0.067398119,4.166666667,7.8125,0.932334287,2.122967432,1.62428381,2.09359045,0.877857501,2.9,1.1,0.757555649,3.776032246,0
29,30.31878441,0.778761062,0.139115631,0.031533352,1.081081081,0.0302777,0.0302777,0.063949843,4.166666667,7.8125,0.932334287,2.122967432,1.62428381,2.09359045,0.877857501,2.9,1.1,0.757555649,3.776032246,0
30,30.31878441,0.778761062,0.139115631,0.031533352,1.081081081,0.0302777,0.0302777,0.063949843,4.166666667,7.8125,0.932334287,2.122967432,1.62428381,2.09359045,0.877857501,2.9,1.1,0.757555649,3.776032246,0
31,30.32659319,0.778761062,0.139115631,0.031533352,1.081081081,0.0302777,0.0302777,0.077742947,4.166666667,7.8125,0.932334287,2.122967432,1.62428381,2.08760612,0.877857501,2.9,1.1,0.757555649,3.776032246,0
32,30.31280008,0.778761062,0.139115631,0.031533352,1.081081081,0.0302777,0.0302777,0.063949843,4.166666667,7.8125,0.932334287,2.122967432,1.62428381,2.08760612,0.877857501,2.9,1.1,0.757555649,3.776032246,0
33,30.08197028,0.814159292,0.229401207,0.054256399,0.900900901,0.0302777,0.0302777,0.09153605,4.166666667,7.8125,0.979753948,2.066428822,1.594324166,2.090771802,0.856972527,2.9,1.1,0.757555649,3.606187449,0
34,30.14397403,0.778761062,0.126115213,0.107370844,1.081081081,0.039286709,0.039286709,0.093706294,4.166666667,7.8125,0.9285248,2.07149166,1.58643218,2.070330679,0.877857501,2.9,1.1,0.655365868,3.709196768,0
35,30.33741847,0.778761062,0.139115631,0.191497485,1.081081081,0.021268691,0.021268691,0.077742947,4.166666667,7.8125,0.932334287,2.110807039,1.631631952,2.09359045,0.877857501,2.9,1.1,0.757555649,3.643739342,0
36,30.33741847,0.778761062,0.139115631,0.191497485,1.081081081,0.021268691,0.021268691,0.077742947,4.166666667,7.8125,0.932334287,2.110807039,1.631631952,2.09359045,0.877857501,2.9,1.1,0.757555649,3.643739342,0
37,30.06363314,0.796460177,0.010006411,0.01899923,0.990990991,0.0302777,0.0302777,0.09153605,4.166666667,7.8125,0.932334287,2.137143151,1.614224739,2.08760612,0.877857501,2.9,1.1,0.757555649,3.709196768,0
38,30.31880723,0.778761062,0.139115631,0.031533352,1.081081081,0.0302777,0.0302777,0.077742947,4.166666667,7.8125,0.932334287,2.122967432,1.62428381,2.079820167,0.877857501,2.9,1.1,0.757555649,3.776032246,0
39,29.8151637,0.747826087,0.210335883,0.389830667,1.061946903,0.030197975,0.030197975,0.073030303,4.0625,6.25,1.019272949,2.23573129,1.855685327,1.975153188,1.088243566,2.9,1.2,0.911570248,3.608352087,0.165289256
40,29.96634704,0.761061947,0.006213306,1.305762215,0.990990991,0.012259682,0.012259682,0.075819419,4.0625,6.25,1.034994304,2.145826218,1.818610031,1.984307245,1.014828641,2.9,1.1,0.961935211,3.446333523,0.082644628
41,28.53747297,0.796460177,0.062127839,0.199533586,0.990990991,0.0302777,0.021268691,0.077742947,4.0625,6.25,0.918126106,2.188640354,1.662214088,2.07938704,0.915803179,2.9,1.1,0.640555755,3.641844521,0
42,28.99224513,0.778761062,0.393449169,0.676386481,0.900900901,0.0302777,0.0302777,0.073349938,4.0625,6.25,0.926877828,2.104836592,1.658733524,2.096857003,0.873147586,2.9,1.1,0.85974543,3.276144213,0
43,27.54055314,0.789473684,0.023132152,0.026796642,0.892857143,0.016844624,0.016844624,0.075252525,4.0625,6.25,0.923161597,2.127983634,1.614659534,2.038291167,0.903395908,2.9,1.2,0.640555755,2.956159519,0.082644628
44,28.10876673,0.771929825,0.077423325,0.513653974,0.892857143,0.025773196,0.025773196,0.067398119,4.0625,6.25,0.917166526,2.136384991,1.638665087,2.07094259,0.891150237,2.9,1.2,0.726678162,2.857825731,0.082644628
45,28.387202,0.814159292,0.103392708,0.0287459,0.900900901,0.0302777,0.0302777,0.090726052,4.0625,6.25,0.931485681,2.148915056,1.687480859,2.06253135,0.873147586,3,1.1,0.85974543,3.412915784,0
46,28.74470516,0.778761062,0.303783639,0.46877575,0.990990991,0.021268691,0.021268691,0.088087774,4.0625,6.25,0.922328606,2.272990393,1.652926527,2.072756577,0.868369745,2.9,1.1,0.773334954,3.196561763,0
47,28.424902,0.831858407,0.416863731,0.158294696,0.900900901,0.012259682,0.012259682,0.077742947,4.0625,6.25,0.939712732,2.096393089,1.63365639,2.104941523,0.873147586,2.9,1.1,0.757555649,3.296814979,0
48,28.61130412,0.814159292,0.282483756,0.376256977,0.990990991,0.012259682,0.012259682,0.088087774,4.0625,6.25,0.920455209,2.267561104,1.650905207,2.060482412,0.86180307,2.9,1.2,0.757555649,3.103543314,0
49,28.35720873,0.785714286,0.215767611,0.025810354,1,0.007591378,0.007591378,0.089141414,4.0625,6.25,0.919405142,2.122596878,1.701588955,2.09767417,0.781191273,2.9,1.1,0.789348026,3.335998609,0.165289256
50,28.34011753,0.803571429,0.355881977,0.080316657,0.909090909,0.007591378,0.007591378,0.089141414,4.0625,6.25,0.921528568,2.09577775,1.707921874,2.075065196,0.781191273,2.9,1.1,0.789348026,3.238310447,0.165289256
51,28.18262631,0.778761062,0.263665598,0.01132061,0.990990991,0.012259682,0.012259682,0.088087774,4.0625,6.25,0.91354979,2.150234027,1.699127529,2.02944742,0.77658491,2.9,1.1,0.773334954,3.287857647,0.082644628
52,28.07303791,0.796460177,0.097911361,0.001434417,0.990990991,0.021268691,0.021268691,0.088087774,4.0625,6.25,0.935714133,2.169873637,1.658378208,2.038884646,0.873147586,2.9,1.1,0.757555649,3.309561952,0
53,27.85028696,0.814159292,0.063906969,0.299979298,0.810810811,0.0302777,0.021268691,0.084639498,4.0625,6.25,0.888664253,2.225151952,1.674412638,2.043667771,0.768013442,2.8,1.1,0.789348026,3.040841989,0.082644628
54,27.34696086,0.821428571,0.02768122,0.159450426,0.825688073,0.012011728,0.012011728,0.09020979,4.0625,6.25,0.912729104,2.156431034,1.660303512,2.02054169,0.77658491,2.9,1.1,0.567452601,2.909291841,0.082644628
55,27.66559774,0.803571429,0.234622733,0.047730961,0.833333333,0.0205231,0.0205231,0.081191223,4.0625,6.25,0.927888701,2.194201374,1.694470463,2.080791868,0.873147586,2.9,1.1,0.553176087,2.987925784,0
56,27.27484688,0.803571429,0.060522696,0.333365842,0.825688073,0.012011728,0.012011728,0.09020979,4.0625,6.25,0.908730505,2.111746204,1.633497414,2.0634105,0.77658491,2.9,1.1,0.567452601,2.680898837,0.082644628
57,27.57457382,0.803571429,0.260112775,0.540201185,0.733944954,0.002837416,0.048708976,0.086713287,4.0625,6.25,0.9070055,2.107278087,1.63177496,2.05479766,0.77658491,2.9,1.1,0.567452601,2.658445454,0.082644628
58,27.52904278,0.810810811,0.001427768,0.09581887,0.917431193,0.002837416,0.002837416,0.094814341,4.0625,6.25,0.91048824,2.114217222,1.65479285,2.042489664,0.77658491,2.9,1.1,0.567452601,3.141894855,0.082644628
59,26.91849462,0.846846847,0.025928465,0.079268264,0.733944954,0.012011728,0.039534664,0.089935065,4.0625,6.25,0.896093511,2.147777235,1.631249015,1.9939438,0.799165872,2.8,1.1,0.450986306,2.876664269,0.082644628
60,26.91849462,0.846846847,0.025928465,0.079268264,0.733944954,0.012011728,0.039534664,0.089935065,4.0625,6.25,0.896093511,2.147777235,1.631249015,1.9939438,0.799165872,2.8,1.1,0.450986306,2.876664269,0.082644628
61,26.93986351,0.846846847,0.025928465,0.079268264,0.733944954,0.012011728,0.039534664,0.089935065,4.0625,6.25,0.896093511,2.147777235,1.631249015,2.015312682,0.799165872,2.8,1.1,0.450986306,2.876664269,0.082644628
62,26.80403248,0.846846847,0.025928465,0.079268264,0.733944954,0.012011728,0.039534664,0.089935065,4.0625,6.25,0.912494931,2.147777235,1.59500864,1.999103745,0.795356465,2.8,1.1,0.437657204,2.876664269,0
63,26.91702791,0.864864865,0.082403611,0.329218419,0.733944954,0.012011728,0.039534664,0.083845651,4.0625,6.25,0.906776014,2.182143872,1.583646415,2.014032693,0.795356465,2.8,1.1,0.336207929,2.740540635,0
64,26.80186058,0.846846847,0.025928465,0.079268264,0.733944954,0.012011728,0.039534664,0.089935065,4.0625,6.25,0.912494931,2.147777235,1.59500864,1.99693185,0.795356465,2.8,1.1,0.437657204,2.876664269,0
65,26.79697396,0.828828829,0.057146236,0.079268264,0.733944954,0.012011728,0.039534664,0.089935065,4.0625,6.25,0.92331259,2.127206812,1.583576998,2.008336196,0.773721048,2.8,1.1,0.450986306,2.876664269,0
66,26.6310364,0.828828829,0.246027893,0.154969207,0.642201835,0.012011728,0.039534664,0.089935065,4.0625,6.25,0.912494931,2.157065028,1.583839178,1.995590888,0.795356465,2.8,1.1,0.437657204,2.523023488,0
67,26.6310364,0.828828829,0.246027893,0.154969207,0.642201835,0.012011728,0.039534664,0.089935065,4.0625,6.25,0.912494931,2.157065028,1.583839178,1.995590888,0.795356465,2.8,1.1,0.437657204,2.523023488,0
68,26.63110041,0.828828829,0.246027893,0.154969207,0.642201835,0.012011728,0.039534664,0.089935065,4.0625,6.25,0.912494931,2.157065028,1.583839178,1.995654894,0.795356465,2.8,1.1,0.437657204,2.523023488,0
69,26.63110041,0.828828829,0.246027893,0.154969207,0.642201835,0.012011728,0.039534664,0.089935065,4.0625,6.25,0.912494931,2.157065028,1.583839178,1.995654894,0.795356465,2.8,1.1,0.437657204,2.523023488,0
